date,CSI,DJI
2019-01-02,-0.00158399057111325,-0.0286782516105824
2019-01-03,0.0236749710241284,0.0323944215499079
2019-01-04,0.00605239468186092,0.00418146140853359
2019-01-07,-0.00216322601565011,0.0108245560166296
2019-01-08,0.0100487608940956,0.0038463062483558
2019-01-09,-0.00188256923805241,0.00512939022399905
2019-01-10,0.00716342177961771,-0.000248761040053225
2019-01-11,-0.00876264823832607,-0.00359497642098816
2019-01-14,0.0194364527662003,0.00649292970076942
2019-01-15,0.00021097586003016,0.00586543778315551
2019-01-16,-0.00552238798226767,0.00670851386352389
2019-01-17,0.0180749205038371,0.0137033245789606
2019-01-18,-0.00787456794189545,-0.012293573610572
2019-01-22,-0.000722427259606917,0.00698817260322393
2019-01-23,0.00562873817584197,-0.000911073513533367
2019-01-24,0.00809999305077902,0.0074643624255053
2019-01-25,-0.000216700036178352,-0.00848389208771216
2019-01-28,0.00319548702001704,0.00210718536686905
2019-01-29,-0.00801267951113083,0.0175385714852272
2019-01-30,0.0104080774918387,-0.000607423501412185
2019-01-31,0.0141946210526047,0.00256554009441778
2019-02-01,0.0180264788825877,-0.000430193354201691
2019-02-11,0.00719324582892433,0.0147648618053164
2019-02-12,0.0198271195788156,0.0046110435378246
2019-02-13,0.00150312492910842,-0.00407511666741378
2019-02-14,-0.0188231357249613,0.0172972811493644
2019-02-15,0.0297765831998298,0.000311736053639322
2019-02-19,0.00357540205074436,0.0024349158421284
2019-02-20,-0.00267454297716085,-0.00400772121138715
2019-02-21,0.0222361279992498,0.00698427970999838
2019-02-22,0.0577737338115387,0.00230758589506408
2019-02-25,-0.0120824164773392,-0.0013027823739975
2019-02-26,-0.0017112408224218,-0.0027984494218849
2019-02-27,-0.00245517124428396,-0.00266506725223792
2019-02-28,0.0216585184531013,0.00424779508817785
2019-03-01,0.0117687249132938,-0.00797250373268987
2019-03-04,0.00575814555577559,-0.000504394284307708
2019-03-05,0.00837154717565625,-0.00517366216897486
2019-03-06,-0.0102496149971039,-0.00782967667720413
2019-03-07,-0.0405255797693194,-0.000902923605242023
2019-03-08,0.0195931022032294,0.00785270581300601
2019-03-11,0.00678666118685634,-0.00375819152579737
2019-03-12,-0.00833211140551171,0.00578374944618254
2019-03-13,-0.00692475027819306,0.000274250611926874
2019-03-14,0.0124996589492934,0.00538919871310206
2019-03-15,0.0281033032871605,0.00252033585124423
2019-03-18,-0.00462937887889758,-0.00103163084799007
2019-03-19,0.000385949361977112,-0.00548913363889803
2019-03-20,0.000377981660658833,0.00838711674283132
2019-03-21,-0.000805664201562806,-0.017884145955005
2019-03-22,-0.0240144686448769,0.000568806042092973
2019-03-25,-0.0113902782782418,0.00550665627786451
2019-03-26,0.0115398864920113,-0.00125342915426963
2019-03-27,-0.00401243078595037,0.00357867707694304
2019-03-28,0.0378797882717556,0.0081795533079454
2019-03-29,0.0258965540036549,0.0126370075406452
2019-04-01,-0.000664550534072106,-0.00302417105412545
2019-04-02,0.0127280928163867,0.00148862773366609
2019-04-03,0.00991301214613749,0.00633048745127596
2019-04-04,-0.00123160915430809,-0.00165422370116808
2019-04-08,0.00447578784380021,-0.00725604994166318
2019-04-09,0.00255352240382578,0.000251588007232684
2019-04-10,-0.0218406069685031,-0.000539577196434493
2019-04-11,-0.00224387161840056,0.0102464299331615
2019-04-12,-0.00328974925466063,-0.00104286099569606
2019-04-15,0.0273595429068383,0.00256977060998409
2019-04-16,0.000354825570250128,-0.000117953506796553
2019-04-17,-0.00371600021691343,0.00415023833241435
2019-04-18,-0.0114774732380631,-0.00182737796936472
2019-04-22,-0.0016408485374857,0.00546726951796295
2019-04-23,0.00275310457032063,-0.00222858934783865
2019-04-24,-0.0221461626279016,-0.0050875425631709
2019-04-25,-0.0134210662360186,0.00306572720169207
2019-04-26,0.00283968558902892,0.000416590398229388
2019-04-29,0.00329684411067177,0.00144955648715595
2019-04-30,-0.0601906094870568,-0.00582411422841567
2019-05-06,0.00973636003037193,-0.0180675811826134
2019-05-07,-0.0144044352311354,8.62659587745895e-05
2019-05-08,-0.0186488157070723,-0.0053660964250053
2019-05-09,0.0356783611542095,0.00440442637398952
2019-05-10,-0.0166833166791562,-0.0240858841346032
2019-05-13,-0.0064480362541044,0.00814287045076156
2019-05-14,0.0222302514366941,0.00453184993609312
2019-05-15,0.00451610648363143,0.00833462727665157
2019-05-16,-0.0257564909505472,-0.00382283424679919
2019-05-17,-0.00852404167625132,-0.00326958395146271
2019-05-20,0.0134505505727027,0.00765871110742467
2019-05-21,-0.00475660259114896,-0.00389980426080783
2019-05-22,-0.0180889558162285,-0.0111628347583892
2019-05-23,0.0027724119754744,0.00372855399909611
2019-05-24,0.0215665300402375,-0.00934245309457715
2019-05-28,-0.00227639316040573,-0.00877127351833806
2019-05-29,-0.00622307825222812,0.00172855734781763
2019-05-30,-0.00313300957555285,-0.0141981205890325
2019-05-31,0.00061141867557879,0.000190994951301704
2019-06-03,-0.00927745891525333,0.0204346083484008
2019-06-04,-0.000378009838316373,0.00815348986142261
2019-06-05,-0.00905645701902991,0.00706554587691244
2019-06-06,0.012838449220963,0.0132098460055783
2019-06-10,0.0296173636774686,-0.000543837143203163
2019-06-11,-0.00760558455545279,-0.00167827886750338
2019-06-12,-0.00154816210432962,0.00391237766755914
2019-06-13,-0.008313093579849,-0.000657516885969045
2019-06-14,-1.64165424028084e-05,0.000878124976209094
2019-06-17,0.0034961059530989,0.0134282336522791
2019-06-18,0.0130887240911477,0.00145215558823253
2019-06-19,0.0298466311081906,0.00935730599619333
